Date,Total Stakes,Total Paid,Profit
 Τρίτη 23 Απρίλη 2024,"1,038,777.00€","565,612.00€","473,165.00€"
 Κυριακή 21 Απρίλη 2024,"1,686,878.00€","7,823,209.66€","-6,136,331.66€"
 Πέμπτη 18 Απρίλη 2024,"2,265,220.00€","530,187.00€","1,735,033.00€"
 Τρίτη 16 Απρίλη 2024,"1,549,691.00€","665,322.50€","884,368.50€"
 Κυριακή 14 Απρίλη 2024,"1,483,460.00€","459,180.00€","1,024,280.00€"
 Πέμπτη 11 Απρίλη 2024,"1,947,933.00€","380,079.50€","1,567,853.50€"
 Τρίτη 9 Απρίλη 2024,"1,381,261.00€","409,576.00€","971,685.00€"
 Κυριακή 7 Απρίλη 2024,"1,318,242.00€","379,396.50€","938,845.50€"
 Πέμπτη 4 Απρίλη 2024,"1,814,205.00€","506,963.50€","1,307,241.50€"
 Τρίτη 2 Απρίλη 2024,"1,284,623.00€","395,891.00€","888,732.00€"
 Κυριακή 31 Μαρτίου 2024,"1,180,857.00€","419,903.50€","760,953.50€"
 Πέμπτη 28 Μαρτίου 2024,"1,723,699.00€","298,054.50€","1,425,644.50€"
 Τρίτη 26 Μαρτίου 2024,"1,225,377.00€","232,798.00€","992,579.00€"
 Κυριακή 24 Μαρτίου 2024,"968,302.00€","170,325.50€","797,976.50€"
 Πέμπτη 21 Μαρτίου 2024,"1,552,901.00€","503,328.00€","1,049,573.00€"
 Τρίτη 19 Μαρτίου 2024,"1,131,571.00€","147,663.00€","983,908.00€"
 Κυριακή 17 Μαρτίου 2024,"941,272.00€","239,249.50€","702,022.50€"
 Πέμπτη 14 Μαρτίου 2024,"1,483,525.00€","319,347.00€","1,164,178.00€"
 Τρίτη 12 Μαρτίου 2024,"1,348,870.00€","339,799.50€","1,009,070.50€"
 Κυριακή 10 Μαρτίου 2024,"1,282,295.00€","255,125.50€","1,027,169.50€"
 Πέμπτη 7 Μαρτίου 2024,"1,843,836.00€","206,704.00€","1,637,132.00€"
 Τρίτη 5 Μαρτίου 2024,"1,294,304.00€","177,831.00€","1,116,473.00€"
 Κυριακή 3 Μαρτίου 2024,"1,296,538.00€","358,271.50€","938,266.50€"
 Πέμπτη 29 Φεβρουάριου 2024,"1,913,194.00€","309,154.50€","1,604,039.50€"
 Τρίτη 27 Φεβρουάριου 2024,"1,365,979.00€","235,090.00€","1,130,889.00€"
 Κυριακή 25 Φεβρουάριου 2024,"1,200,465.00€","256,698.50€","943,766.50€"
 Πέμπτη 22 Φεβρουάριου 2024,"3,419,432.00€","256,912.00€","3,162,520.00€"
 Τρίτη 20 Φεβρουάριου 2024,"2,307,813.00€","352,827.50€","1,954,985.50€"
 Κυριακή 18 Φεβρουάριου 2024,"2,150,966.00€","527,685.00€","1,623,281.00€"
 Τρίτη 13 Φεβρουάριου 2024,"1,913,512.00€","281,474.00€","1,632,038.00€"
 Κυριακή 11 Φεβρουάριου 2024,"1,824,546.00€","322,747.00€","1,501,799.00€"
 Πέμπτη 8 Φεβρουάριου 2024,"2,549,595.00€","332,520.50€","2,217,074.50€"
 Τρίτη 6 Φεβρουάριου 2024,"1,696,569.00€","342,962.00€","1,353,607.00€"
 Κυριακή 4 Φεβρουάριου 2024,"1,589,129.00€","538,956.50€","1,050,172.50€"
 Πέμπτη 1 Φεβρουάριου 2024,"2,243,995.00€","755,129.50€","1,488,865.50€"
 Τρίτη 30 Ιανουαρίου 2024,"1,499,463.00€","295,436.00€","1,204,027.00€"
 Κυριακή 28 Ιανουαρίου 2024,"1,307,302.00€","373,706.00€","933,596.00€"
 Πέμπτη 25 Ιανουαρίου 2024,"2,010,863.00€","425,454.00€","1,585,409.00€"
 Τρίτη 23 Ιανουαρίου 2024,"1,380,786.00€","449,950.50€","930,835.50€"
 Κυριακή 21 Ιανουαρίου 2024,"1,214,966.00€","183,039.00€","1,031,927.00€"
 Πέμπτη 18 Ιανουαρίου 2024,"4,612,347.00€","749,175.00€","3,863,172.00€"
 Τρίτη 16 Ιανουαρίου 2024,"3,195,923.00€","544,320.00€","2,651,603.00€"
 Κυριακή 14 Ιανουαρίου 2024,"2,787,830.00€","695,689.00€","2,092,141.00€"
 Πέμπτη 11 Ιανουαρίου 2024,"3,464,462.00€","595,129.00€","2,869,333.00€"
 Τρίτη 9 Ιανουαρίου 2024,"2,387,437.00€","752,482.00€","1,634,955.00€"
 Κυριακή 7 Ιανουαρίου 2024,"2,026,507.00€","287,112.00€","1,739,395.00€"
 Πέμπτη 4 Ιανουαρίου 2024,"2,769,220.00€","471,343.50€","2,297,876.50€"
 Τρίτη 2 Ιανουαρίου 2024,"1,986,144.00€","385,143.50€","1,601,000.50€"
 Κυριακή 31 Δεκέμβρη 2023,"1,670,359.00€","409,993.50€","1,260,365.50€"
 Πέμπτη 28 Δεκέμβρη 2023,"3,605,612.00€","1,701,657.50€","1,903,954.50€"
 Τρίτη 26 Δεκέμβρη 2023,"1,927,930.00€","672,198.50€","1,255,731.50€"
 Κυριακή 24 Δεκέμβρη 2023,"1,330,379.00€","204,440.50€","1,125,938.50€"
