Date,Total Stakes,Total Paid,Profit
Σάββατο 23/03/2024,"331,614.00€","254,447.00€","77,167.00€"
Τετάρτη 20/03/2024,"309,770.00€","75,546.00€","234,224.00€"
Σάββατο 16/03/2024,"340,625.00€","166,725.00€","173,900.00€"
Τετάρτη 13/03/2024,"346,683.00€","113,738.00€","232,945.00€"
Σάββατο 09/03/2024,"350,654.00€","102,787.00€","247,867.00€"
Τετάρτη 06/03/2024,"382,741.00€","177,887.00€","204,854.00€"
Σάββατο 02/03/2024,"392,987.00€","78,308.00€","314,679.00€"
Τετάρτη 28/02/2024,"416,091.00€","104,861.00€","311,230.00€"
Σάββατο 24/02/2024,"404,731.00€","219,217.00€","185,514.00€"
Τετάρτη 21/02/2024,"399,040.00€","116,240.00€","282,800.00€"
Σάββατο 17/02/2024,"397,751.00€","172,389.00€","225,362.00€"
Τετάρτη 14/02/2024,"403,136.00€","216,400.00€","186,736.00€"
Σάββατο 10/02/2024,"409,389.00€","223,458.00€","185,931.00€"
Τετάρτη 07/02/2024,"413,003.00€","152,983.00€","260,020.00€"
Σάββατο 03/02/2024,"419,453.00€","165,333.00€","254,120.00€"
Τετάρτη 31/01/2024,"417,187.00€","213,042.00€","204,145.00€"
Σάββατο 27/01/2024,"432,150.00€","165,808.00€","266,342.00€"
Τετάρτη 24/01/2024,"429,342.00€","95,775.00€","333,567.00€"
Σάββατο 20/01/2024,"451,291.00€","151,478.00€","299,813.00€"
Τετάρτη 17/01/2024,"461,205.00€","135,890.00€","325,315.00€"
Σάββατο 13/01/2024,"447,436.00€","223,313.00€","224,123.00€"
Τετάρτη 10/01/2024,"441,890.00€","161,634.00€","280,256.00€"
Σάββατο 06/01/2024,"441,093.00€","222,417.00€","218,676.00€"
Τετάρτη 03/01/2024,"480,391.00€","327,281.00€","153,110.00€"
Σάββατο 30/12/2023,"561,062.00€","319,998.00€","241,064.00€"
Τετάρτη 27/12/2023,"464,289.00€","202,995.00€","261,294.00€"
Σάββατο 23/12/2023,"501,465.00€","263,248.00€","238,217.00€"
Τετάρτη 20/12/2023,"457,690.00€","171,264.00€","286,426.00€"
Σάββατο 16/12/2023,"426,000.00€","115,946.00€","310,054.00€"
Τετάρτη 13/12/2023,"447,385.00€","153,887.00€","293,498.00€"
Σάββατο 09/12/2023,"441,604.00€","214,892.00€","226,712.00€"
Τετάρτη 06/12/2023,"464,986.00€","131,392.00€","333,594.00€"
Σάββατο 02/12/2023,"503,685.00€","199,255.00€","304,430.00€"
Τετάρτη 29/11/2023,"522,902.00€","217,424.00€","305,478.00€"
Σάββατο 25/11/2023,"491,109.00€","176,109.00€","315,000.00€"
Τετάρτη 22/11/2023,"496,363.00€","228,700.00€","267,663.00€"
Σάββατο 18/11/2023,"470,493.00€","308,590.00€","161,903.00€"
Τετάρτη 15/11/2023,"502,306.00€","142,437.00€","359,869.00€"
Σάββατο 11/11/2023,"470,372.00€","191,404.00€","278,968.00€"
Τετάρτη 08/11/2023,"487,251.00€","1,543,837.00€","-1,056,586.00€"
Σάββατο 04/11/2023,"475,068.00€","163,835.00€","311,233.00€"
Τετάρτη 01/11/2023,"469,175.00€","333,010.00€","136,165.00€"
Κυριακή 29/10/2023,"473,064.00€","172,835.00€","300,229.00€"
Τετάρτη 25/10/2023,"474,638.00€","141,426.00€","333,212.00€"
Σάββατο 21/10/2023,"453,276.00€","139,190.00€","314,086.00€"
Τετάρτη 18/10/2023,"484,002.00€","452,475.00€","31,527.00€"
